EmployeeID,DateOfHire,DateOfBirth,Gender,Department,JobTitle,EmploymentStatus,SupervisorID,SupervisorName,SupervisorLevel,ProjectsAssigned,ProjectsCompleted,PerformanceRating,Salary,Bonus,YearsAtCompany,YearsInCurrentRole,TrainingHours,OvertimeHours,Absences,HireSource,EmployeeEngagementScore,TerminationDate,ReasonForLeaving,LastPromotionDate,SeniorLeader,TeamSize,PromotionCount,WorkFromHomeDays,PerformanceImprovementPlan,YearsSinceLastTraining,JobSatisfactionScore,RetentionRisk,DiversityCategory,SkillsAssessmentScore,RecruitmentCost,TimeToFillPosition,InternalPromotion,WorkHoursPerWeek,StressLevelScore
1,22-03-2022,10-12-1966,Non-Binary,HR,Sales promotion account executive,Active,115,Michelle Dennis,VP,16,5,3,93343.46,832.3,5,7,16,25,6,Recruiter,2.62,,,,Patrick,11,2,13,No,1,1.45,Low,Non-Diverse,50.26,1152.71,14,Yes,50,6.63
2,11-01-2020,15-12-1965,Non-Binary,HR,Sales executive,Terminated,419,Thomas Nelson,Director,16,17,4,73427.36,3257.5,5,3,66,39,7,Referral,2.26,02-02-2021,Retirement,,Patrick,36,4,13,No,2,1.4,Medium,Diverse,97.9,2810.24,23,Yes,50,5.68
3,30-10-2024,06-08-1964,Female,Marketing,"Research officer, trade union",Active,241,Miranda Barnes,Director,9,4,5,61139.49,15121.63,7,6,22,49,12,Job Board,4.5,,,,Thomas G,42,1,18,Yes,5,4.46,Medium,Non-Diverse,78.61,5945.55,39,No,55,8.51
4,18-11-2020,03-05-2001,Non-Binary,Marketing,Soil scientist,On Leave,765,Cheryl Kelley,Director,14,11,4,35649.67,6889.36,2,2,54,24,19,Job Board,4.03,,,25-11-2020,Thomas G,44,4,15,Yes,2,1.09,Medium,Non-Diverse,95.29,7837.52,25,Yes,56,3.34
5,13-05-2023,27-09-1993,Non-Binary,HR,Automotive engineer,Active,792,Maria Jenkins,VP,4,4,3,57320.06,11421.73,10,7,17,45,12,Recruiter,4.43,,,05-01-2025,Patrick,25,5,2,Yes,1,3.21,High,Diverse,70.09,1638.29,46,No,57,3.34
6,13-09-2024,28-08-1972,Male,Sales,Race relations officer,Terminated,249,Kristin Kelley,VP,0,12,3,109800.01,18552.54,10,1,73,13,12,Referral,1.84,17-09-2024,None,18-12-2024,Patrick,40,0,7,Yes,2,4.43,Low,Diverse,55.33,9943.64,52,No,57,2.07
7,20-02-2024,19-07-1964,Female,IT,Podiatrist,Terminated,367,Julie Valencia,VP,18,6,1,88873.33,19624.09,9,3,42,5,18,Recruiter,2.24,25-01-2025,Layoff,,Thomas G,30,5,20,No,2,2.53,Medium,Diverse,84.93,5566.87,11,No,38,5.48
8,23-05-2017,29-11-2005,Non-Binary,HR,Merchant navy officer,Active,555,Brenda Hamilton,Manager,3,3,2,50738.16,10187.83,9,10,63,9,9,Job Board,3.65,,,29-09-2022,Patrick,26,5,4,Yes,2,2.56,Medium,Diverse,91.76,4887.04,36,No,57,9.99
9,31-08-2018,03-04-1995,Female,Marketing,Multimedia programmer,On Leave,546,Michael Zimmerman Jr.,Manager,19,13,5,37500.42,4936.22,2,1,2,16,17,Referral,3.83,,,,Arun S,41,3,8,No,5,3.41,Medium,Non-Diverse,91.18,6198.65,37,No,43,5.91
10,05-04-2021,20-02-1989,Non-Binary,Sales,Print production planner,On Leave,342,Mrs. Joyce Wilson,VP,13,13,1,46188.62,19283.99,1,4,8,33,12,Referral,2.47,,,20-10-2021,Thomas G,25,1,17,Yes,2,4.46,Low,Non-Diverse,55.7,1763.61,23,No,48,1.8
11,03-06-2018,03-10-1959,Female,HR,Quantity surveyor,On Leave,546,Collin Tucker,Manager,0,17,3,53739.31,9339.54,6,5,26,5,13,Referral,2.68,,,,Arun S,30,1,1,Yes,1,4.71,Low,Non-Diverse,55.26,2252.78,6,No,58,4.72
12,20-10-2020,14-08-1963,Female,Finance,Building control surveyor,Terminated,286,Katherine Oliver,Manager,3,16,1,78121.28,11763.16,6,5,71,46,4,Recruiter,1.09,23-11-2021,Retirement,,Arun S,23,5,0,Yes,3,4.91,Medium,Diverse,89.69,1508.34,30,No,32,1.23
13,05-09-2017,25-10-1981,Male,HR,Firefighter,Active,728,Katherine Chang,Director,11,20,4,104728.46,17538.3,5,10,30,37,2,Referral,4.19,,,,Thomas G,44,0,10,Yes,3,4.61,Medium,Non-Diverse,61.03,3937.74,51,No,55,7.29
14,14-06-2022,26-02-1984,Female,HR,Museum education officer,On Leave,264,Janet Green,Director,7,6,1,46332.42,6154.17,4,7,47,24,16,Referral,4.19,,,07-06-2023,Arun S,25,1,4,No,4,3.41,Medium,Non-Diverse,97.64,8585.49,19,No,35,9.01
15,05-05-2020,15-06-1993,Non-Binary,HR,Civil Service fast streamer,Active,732,John Reese,Director,1,17,3,67177.18,1736.91,0,0,89,19,9,Job Board,3.76,,,,Arun S,35,0,19,Yes,3,2.51,Low,Non-Diverse,74.65,4768.7,52,Yes,31,7.75
16,03-05-2024,01-02-2000,Male,HR,Armed forces technical officer,Active,635,Cheryl Lopez,Manager,17,12,5,39825.82,11642.4,6,0,48,28,19,Recruiter,2.33,,,03-05-2024,Patrick,28,2,2,Yes,2,4.26,Low,Non-Diverse,53.04,9248.35,47,Yes,52,4.59
17,09-06-2022,09-09-1976,Non-Binary,Finance,Information officer,Active,27,Julian Frazier,Manager,18,11,4,95837.98,14622.89,1,6,36,13,3,Job Board,4.92,,,,Thomas G,32,0,2,Yes,2,2.97,High,Non-Diverse,85.37,5769.76,41,No,51,7.29
18,05-06-2021,29-04-1992,Male,IT,Sport and exercise psychologist,On Leave,768,Michele Butler,VP,4,4,2,50752.78,7394.65,10,2,23,19,16,Recruiter,3.25,,,29-09-2023,Thomas G,10,0,6,Yes,1,1.29,Low,Non-Diverse,96.27,7709.29,57,Yes,35,8.94
19,11-10-2017,15-06-1963,Female,Finance,Brewing technologist,Terminated,203,Nathaniel Brown,Manager,5,12,3,88818.66,3364.12,2,6,37,14,17,Recruiter,1.4,24-11-2019,None,,Arun S,10,3,13,Yes,1,2.43,High,Diverse,72.31,1010.72,8,Yes,34,2.93
20,14-09-2021,30-10-1979,Non-Binary,IT,Scientific laboratory technician,On Leave,581,Kevin Curtis,Director,18,17,4,86295.1,9759.41,10,5,5,34,2,Job Board,4.55,,,,Arun S,26,4,1,No,4,3.05,High,Diverse,67.62,5859.86,39,Yes,40,8.47
21,09-07-2022,17-12-1987,Female,Finance,Advertising account executive,Active,607,Matthew Kelley,Director,5,9,3,115566.26,10066.23,4,0,13,25,12,Job Board,4.33,,,,Arun S,38,3,10,Yes,3,4.45,Medium,Diverse,94.42,2922.13,41,Yes,59,7.12
22,04-03-2016,23-02-1982,Female,Sales,Medical laboratory scientific officer,Terminated,825,Daniel Jackson,Manager,12,15,2,88959.45,12130.3,5,6,24,9,20,Recruiter,4.18,29-07-2020,Resignation,,Thomas G,15,0,14,Yes,1,2.52,Medium,Diverse,61.18,4143.1,31,Yes,43,6.95
23,26-10-2023,20-02-1960,Male,IT,Chief Strategy Officer,Terminated,639,Katrina Farrell,VP,20,7,2,56567.65,15952.76,0,2,28,38,4,Referral,2.36,30-12-2023,Retirement,21-01-2024,Arun S,24,3,4,No,4,4.68,High,Diverse,86.36,1129.79,9,No,36,6.24
24,14-04-2022,12-08-1994,Non-Binary,IT,"Radiographer, therapeutic",Terminated,788,Joshua Smith,Manager,0,19,1,103227.78,2980.06,4,5,87,31,11,Recruiter,1.75,26-05-2023,Resignation,,Patrick,5,1,16,No,3,1.84,Low,Diverse,70.76,2382.94,25,No,54,5.43
25,01-02-2024,11-06-1991,Male,IT,"Pilot, airline",On Leave,817,Savannah King,VP,4,8,1,36758.8,4521.58,7,3,43,32,1,Recruiter,1.39,,,,Patrick,40,4,17,Yes,0,4.87,High,Non-Diverse,68.92,9802.82,6,Yes,47,7.39
26,02-08-2024,08-01-1987,Female,Finance,"Surveyor, building control",Terminated,239,Michael Strickland,Director,9,19,5,66044,4040.52,3,10,13,5,6,Recruiter,1.13,01-09-2024,None,14-11-2024,Thomas G,35,1,5,No,5,1.35,Low,Diverse,55.77,3312.81,57,Yes,44,6
27,17-02-2018,17-03-1963,Male,Marketing,Advertising account executive,On Leave,588,Stephanie Phillips,Director,6,12,1,86196.34,4022.92,7,3,33,10,14,Referral,3.53,,,,Arun S,24,0,5,No,4,4.36,Medium,Diverse,62.41,7474.89,26,Yes,58,9.43
28,24-12-2016,02-04-1973,Male,Marketing,"Merchandiser, retail",On Leave,619,Michael Spencer,VP,7,17,1,101952.96,19281.64,9,2,31,6,6,Referral,1.62,,,06-03-2023,Patrick,37,1,7,No,0,3.65,Medium,Diverse,98.1,4244.32,40,Yes,35,9.38
29,02-09-2022,15-02-1971,Male,HR,Paediatric nurse,Terminated,657,Caitlyn Nguyen,Manager,5,8,2,85336.8,18139.34,4,1,50,14,1,Job Board,3.28,01-08-2024,Resignation,,Arun S,39,5,17,No,1,4.19,Medium,Diverse,70.46,6358.06,54,Yes,31,3.76
30,29-09-2016,23-08-1968,Non-Binary,Finance,"Engineer, land",On Leave,817,Terry Meza,VP,6,4,3,117332.64,11094.55,7,8,68,25,5,Referral,2.42,,,,Arun S,41,4,0,Yes,1,1.71,High,Non-Diverse,78.13,1843.24,45,No,32,4.95
31,29-12-2022,15-10-1991,Male,HR,Newspaper journalist,On Leave,806,Christopher Sanchez,VP,19,13,2,40313.05,5822.03,9,1,33,23,4,Job Board,2.82,,,,Patrick,31,3,5,Yes,3,4.12,Low,Non-Diverse,85.54,5132.65,20,Yes,42,2
32,18-05-2015,19-10-1976,Male,IT,"Designer, exhibition/display",On Leave,915,Dr. Andrea Jones,Manager,12,8,3,83116.13,785.93,8,2,30,36,10,Walk-in,2.37,,,09-07-2018,Patrick,10,0,16,Yes,0,2.18,High,Diverse,81,2552.25,37,No,33,8.82
33,20-09-2019,11-07-1971,Female,Sales,Museum/gallery curator,Terminated,795,Mary Castillo,VP,15,1,5,64743.79,1373.37,1,1,36,3,5,Walk-in,3.69,03-12-2021,Layoff,,Thomas G,8,0,3,Yes,0,2.74,Low,Non-Diverse,65.11,1320.6,22,Yes,38,4.98
34,04-09-2019,22-09-1981,Male,Finance,Communications engineer,Active,476,Alex Bailey,VP,17,5,4,100987.44,16921.79,7,6,90,22,5,Job Board,1.93,,,03-03-2022,Thomas G,38,0,8,Yes,5,1.02,Low,Diverse,93.78,2317.69,56,Yes,59,6.76
35,27-06-2019,24-01-1998,Male,Sales,"Designer, multimedia",On Leave,265,Kristen Bell,VP,17,1,4,74615.96,10027.94,3,8,30,36,5,Referral,3.61,,,,Thomas G,49,2,3,Yes,1,1.96,Medium,Non-Diverse,57.58,7248.18,42,No,49,6.51
36,30-06-2021,20-06-1963,Female,IT,Environmental health practitioner,On Leave,946,Allison Kelly,Director,6,2,5,31713.08,19975.89,3,7,14,37,7,Recruiter,2.9,,,,Patrick,37,4,7,Yes,3,1.04,Low,Diverse,92.7,7361.11,19,Yes,60,1.52
37,08-09-2016,16-09-1985,Female,Marketing,Music therapist,On Leave,140,Susan Smith,Director,14,16,1,49747.24,19655.78,4,3,85,27,3,Walk-in,2.41,,,15-04-2023,Thomas G,48,2,7,No,0,1.07,Medium,Diverse,82.72,7939.27,56,No,58,1.55
38,10-03-2024,09-02-1973,Non-Binary,Sales,Health and safety inspector,On Leave,237,Charles Ross,Manager,11,15,3,64734.26,8795.32,5,0,2,2,11,Recruiter,4.93,,,17-08-2024,Arun S,28,1,4,No,3,4.44,Low,Non-Diverse,52.67,3665.86,46,No,30,7.4
39,24-04-2019,23-01-1984,Male,HR,Pathologist,Active,607,Melissa Sherman,Director,2,14,1,55121.37,8058.9,8,10,8,37,3,Referral,4.98,,,,Patrick,35,2,8,No,4,2.96,Medium,Non-Diverse,79.52,8299.3,54,Yes,38,9.68
40,31-08-2019,27-08-1983,Male,Sales,Hydrologist,Active,888,Casey Roach,Manager,15,12,3,41957.16,3446.53,7,5,18,40,0,Recruiter,4.21,,,,Arun S,21,0,13,Yes,5,3.99,Low,Diverse,59.85,6499.21,60,No,56,8.23
41,03-07-2020,10-12-2004,Non-Binary,HR,Ergonomist,Terminated,711,Paula Schmidt,VP,14,13,2,115915.71,9728,1,4,23,19,10,Recruiter,4.26,14-11-2023,None,28-11-2020,Patrick,34,2,9,No,2,1.61,Low,Non-Diverse,96.36,5621.35,16,Yes,42,3.79
42,23-07-2024,01-07-1973,Male,Finance,Financial planner,Active,906,David Mays,Manager,14,7,4,101168.55,2206.62,5,2,49,18,18,Walk-in,2.45,,,04-08-2024,Thomas G,8,1,9,Yes,5,2.79,Medium,Non-Diverse,54.14,5361.98,34,Yes,58,9.63
43,08-05-2019,29-11-1987,Non-Binary,Sales,Photographer,Terminated,394,Terry Thomas,Director,11,0,3,110149.96,14290.43,4,9,7,25,1,Referral,3.54,05-07-2022,None,,Thomas G,11,1,4,No,1,1.78,High,Non-Diverse,84.08,9255.01,7,No,33,5.59
44,02-05-2022,15-10-1961,Non-Binary,IT,"Investment banker, corporate",On Leave,48,Natalie Hebert,Manager,10,6,2,100540.12,18735.25,5,8,13,18,3,Walk-in,4.01,,,05-06-2022,Patrick,49,2,4,No,5,1.17,Medium,Non-Diverse,78.49,1396.67,28,No,50,9.88
